,Buy Rates,Buy Rates,Buy Rates,Buy Rates,Buy Rates,Buy Rates,Locality Name,Project Name
,Avg price per sqft,Price range per sqft,Price rise,Properties,Trend,View properties,"{""city"":""Hyderabad"",""typeAheadType"":""locality"",""templatePath"":""doT!modules/typeAhead/views/locality"",""rows"":5,""includeGoogplePlace"":true,""includeSuggestion"":true,""placeholder"":""search locality in hyderabad""}","{""city"":""Hyderabad"",""typeAheadType"":""project"",""templatePath"":""doT!modules/typeAhead/views/project"",""rows"":5,""includeGoogplePlace"":true,""includeSuggestion"":true,""placeholder"":""search project in hyderabad""}"
0,"3,400 / sqft","3,400 / sqft",-,,See trend,View 1 properties,Kothur,
1,"11,207.47 / sqft","696 - 12,813 / sqft",47.7%,,See trend,View 505 properties,Kondapur,
2,"52,506.19 / sqft","2,385 - 65,000 / sqft",7.8%,,See trend,View 1656 properties,Tellapur,
3,"3,333.33 / sqft","3,333 / sqft",126.7%,,See trend,View 1 properties,Shadnagar,
4,"48,344.48 / sqft","539 - 85,294 / sqft",17.4%,,See trend,View 634 properties,Gachibowli,
5,"3,840.29 / sqft","1,800 - 3,878 / sqft",-6.5%,,See trend,View 22 properties,Maheshwaram,
6,"35,37.65 / sqft","420 - 65,789 / sqft",38.2%,,See trend,View 782 properties,Kukatpally,
7,"4,163.39 / sqft","250 - 5,102 / sqft",-,,See trend,View 62 properties,Tukkuguda,
8,"4,433.41 / sqft","230 - 5,500 / sqft",-31.5%,,See trend,View 332 properties,Patancheru,
9,"6,675.6 / sqft","411 - 7,304 / sqft",34.8%,,See trend,View 379 properties,Miyapur,
10,"4,241.67 / sqft","2,000 - 4,500 / sqft",34.3%,,See trend,View 235 properties,Beeramguda,
11,"4,12.69 / sqft","1,500 - 5,000 / sqft",282.4%,,See trend,View 216 properties,Adibatla,
12,"10,846.14 / sqft","2,718 - 15,000 / sqft",31.1%,,See trend,View 204 properties,Hitech City,
13,"9,93.87 / sqft","3,391 - 9,611 / sqft",20.9%,,See trend,View 342 properties,Manikonda,
14,"6,26.39 / sqft","320 - 6,262 / sqft",-7%,,See trend,View 304 properties,Bachupally,
15,"6,847.47 / sqft","1,287 - 7,175 / sqft",17.1%,,See trend,View 328 properties,Nizampet,
16,"9,385.41 / sqft","2,699 - 13,962 / sqft",15.5%,,See trend,View 76 properties,Madhapur,
17,"5,897.54 / sqft","2,490 - 10,000 / sqft",25.5%,,See trend,View 115 properties,Chandanagar,
18,-,-,-,,See trend,View properties,Bhuvanagiri,
19,"8,453.19 / sqft","3,600 - 11,667 / sqft",164.7%,,See trend,View 285 properties,Kokapet,
20,"5,497.97 / sqft","1,114 - 6,389 / sqft",38.1%,,See trend,View 190 properties,Kompally,
21,"4,440.07 / sqft","1,625 - 4,553 / sqft",-,,See trend,View 161 properties,Kollur,
