,area,rate
1,Kothur,3400 
2,Kondapur,11207.47 
3,Tellapur,52506.19 
4,Shadnagar,3333.33 
5,Gachibowli,48344.48 
6,Maheshwaram,3840.29 
7,Kukatpally,3537.65 
8,Tukkuguda,4163.39 
9,Patancheru,4433.41 
10,Miyapur,6675.6 
11,Beeramguda,4241.67 
12,Adibatla,412.69 
13,Hitech City,10846.14 
14,Manikonda,993.87 
15,Bachupally,626.39 
16,Nizampet,6847.47 
17,Madhapur,9385.41 
18,Chandanagar,5897.54 
19,Bhuvanagiri,-
20,Kokapet,8453.19 
21,Kompally,5497.97 
22,Kollur,4440.07 
23,Indresham,348.78 
24,Toli Chowki,9172.2 
25,Nanakramguda,9476.67 
26,Kadthal,-
27,Shamshabad,320.93 
28,Nagole,6354.79 
29,Pragathi Nagar Kukatpally,562.15 
30,Narsingi,43499.06 
31,BHEL,4490.17 
32,Ghatkesar,3428.95 
33,Yadagirigutta,3348.07 
34,Isnapur,3440.98 
35,Banjara Hills,26568.43 
36,Bandlaguda Jagir,5189.97 
37,KPHB,4494.35 
38,Mallampet,4393.93 
39,Bhongir,-
40,Rudraram,-
41,Puppalaguda,5898.56 
42,Warangal Highway Aler,-
43,Shankarpalli,6228.28 
44,Alwal,4888.49 
45,Krishna Reddy Pet,6331.04 
46,Shaikpet,10266.53 
47,Ramachandra Puram,5467.37 
48,Mucherla,-
49,Begumpet,8412.98 
50,Rampally,3851.85 
51,Dammaiguda,5344.84 
52,Mansanpally,-
53,Bhanur,2946.09 
54,Srisailam Highway,5895.51 
55,Tarnaka,6698.37 
56,Thimmapur,-
57,Sadasivpet,2973.58 
58,Shamirpet,2984.11 
59,Ibrahimpatnam,-
60,Habsiguda,7321.2 
241,,
261,Kollur Road,3802.96 
262,AS Rao Nagar,5213.56 
263,Uppal,5605.14 
264,Serilingampally,827.49 
265,Medchal,3970.48 
266,JP Darga,-
267,Nandigama,2946.09 
268,Ameerpet,9445.17 
269,Nacharam,6276.52 
270,Sadashivpet,-
271,Sangareddy,3171.81 
272,Attapur,651.51 
273,Himayat Nagar,9174.25 
274,Boduppal,5387.29 
275,Sainikpuri,5534.29 
276,Kapra,4378.56 
277,Jubilee Hills,12779.22 
278,Aminpur,5521.94 
279,Hafeezpet,6340.77 
280,Gandhinagar,2352.94 
281,Bibinagar,-
282,Keesara,3850 
283,Yapral,4740.56 
284,Mokila,3885.71 
285,Gajularamaram,4906.11 
286,Shankarpally Road,4250.41 
287,Malkajgiri,5391.12 
288,Kismatpur,4913.37 
289,Nallagandla Gachibowli,7872.82 
290,BB Nagar,-
291,financial District,5983.84 
292,Kundanpally,-
293,Mehdipatnam,6237.77 
294,Nallagandla Road,5488.5 
295,Sanath Nagar,8708.06 
296,Appa Junction Peerancheru,5666.84 
297,Nagaram,3781.15 
298,Komshetpalle,-
299,Bollaram,4340.92 
300,Bolarum,5218.46 
301,Aushapur,553.57 
302,Kavadiguda,8437.93 
303,Nallakunta,612.31 
304,Gopanpally,6159.27 
305,Kandukur,-
306,Moula Ali,4492.44 
307,Bachupally Road,3950.68 
308,Vanasthalipuram,4852.48 
309,muthangi,3558.12 
310,Kistareddypet,3675.88 
311,Old Bowenpally,4883.72 
312,Rajendra Nagar,781.52 
313,LB Nagar,6427.96 
314,Somajiguda,10176.81 
315,East Marredpally,7823.9 
316,Badangpet,2865.82 
317,Hyder Nagar,5495.21 
318,Hyderabad Narsapur Road,-
319,Trimalgherry,5184.77 
320,Hyderabad Degloor Road,-
521,Beeramguda Road,4000 
522,Timmapur,-
523,West Marredpally,8510.36 
524,Dilsukh Nagar,5641.23 
525,Mallapur,4960.49 
526,Dundigal,3200 
527,Kachiguda,7413.24 
528,Safilguda,4689.39 
529,Amberpet,8659.19 
530,Gandi Maisamma,3200 
531,Gatkeshwar,1600 
532,Hayathnagar,5315.48 
533,Kothaguda,12835.41 
534,Uppal Kalan,511.95 
535,Chengicherla,-
536,ECIL,4200 
537,Masab Tank,6738.35 
538,Kothapet,6333.87 
539,Neredmet,4722.9 
540,Sanga Reddy,2918.17 
541,Saroornagar,5361.53 
542,Quthbullapur,4697.83 
543,Amangal,-
544,Bacharam,3000 
545,Almasguda,4268.29 
546,Humayunagar,5175.37 
547,Sultanpur,-
548,Qutub Shahi Tombs,4358.26 
549,Bowenpally,4915.88 
550,Kushaiguda,51.77 
551,Appa Junction,8136.63 
552,Neknampur,5758.62 
553,B N reddy nagar,4601.77 
554,Rameshwaram Banda,-
555,Balapur,3921.08 
556,Bowrampet,4675.52 
557,TurkaYamjal,3888.89 
558,Pocharam,-
559,Gopal Reddy Nagar,-
560,Madinaguda,5326.29 
561,Kondakal,-
562,Raviryal,2390.54 
563,Velimela,417.11 
564,Warangal highway,-
565,Thumkunta,3125 
566,Sanjeeva Reddy Nagar,4726.23 
567,Moinabad,-
568,Kondapur Police Colony Road,5948.28 
569,Patancheru Shankarpalli Road,2937.5 
570,Taramatipet,1763.1 
571,Ramanthapur,6296.3 
572,Suraram,3612.9 
573,Alair,-
574,Edulabad,-
575,Pedda Amberpet,-
576,Mangalpally,-
577,Karmanghat,4865.24 
578,Pati,3424.23 
579,ECIL Main Road,4405.5 
580,Suryapet,-
781,Tukkuguda Airport View Point Road,2499.5 
782,Adibhatla,3935.34 
783,Hastinapuram,5141.12 
784,Old Alwal,4216.51 
785,Suchitra,261.26 
786,Abids,8224.13 
787,Abdullapurmet,-
788,Ashok Nagar,5262.15 
789,Jedimetla,4402.2 
790,Lingampalli,5233.5 
791,Balanagar,5161.18 
792,Chilkur,466 
793,Jalapalli,-
794,Miyapur Bachupally Road,543.37 
795,Moosapet,810.57 
796,Usman Nagar,3641.71 
797,Wangapalli,-
798,Gajulramaram Kukatpally,5310.03 
799,Ramdas Pally,-
800,Hyderguda,5845.94 
801,Gopalnagar Society,-
802,Kongarkalan,2000 
803,Macha Bolarum,3703.01 
804,Patancheru Mandal,2500 
805,Gowdavalli,-
806,Linghampally,4483.28 
807,Moosarambagh Road,-
808,Narayanguda,6961.03 
809,Pocharam Near Muthangi,4608.7 
810,Whisper Valley,5288.52 
811,Yousufguda,5840.44 
812,Kowkur,3405.85 
813,Bairagiguda,4587.3 
814,Upparpally,4583.32 
815,Auto Nagar,5688.26 
816,Meerpet,4528.3 
817,Nadergul,-
819,Gollur,-
820,Kardhanur,6000 
821,Mallampet Road,3363.64 
822,Osman Nagar,3300 
823,Karkhana,462.3 
824,Allwyn Colony,4553.11 
825,Cherlapalli,4130.52 
826,Mamidpalli,-
827,Pashamailaram,2953.39 
828,Sri Nagar Colony,9285.71 
829,Malakpet,4940.94 
830,Bongloor,3300 
831,Chevella,-
832,Adikmet,533.85 
833,Gandipet,787.49 
834,kandukur Mandal,-
835,Raipalle,-
836,Lakdikapul,5584.16 
837,Annojiguda,-
838,chandrayangutta,5326.24 
839,Hussaini Alam,3630.01 
840,Keshampet,-
1041,Nandiwanaparthy,-
1042,Narsapur,-
1043,Rameswaram Banda,-
1044,Shameerpet,-
1045,Shamshabad Road,-
1046,Thummaluru,-
1047,Uppalguda,4313.16 
1048,Hakimpet,6864.38 
1049,hyderabad,2910.97 
1050,Koheda,-
1051,Narapally,-
1052,Vikarabad,-
1053,Erragadda,30630.6 
1054,Hyderabad Warangal Highway,-
1055,Hyderabad Warangal Hwy,-
1056,JNTU,5201 
1057,Maheshwar Mandal,-
1058,Mansoorabad,4858.4 
1059,Pragathi Nagar,4901.23 
1060,Jagadgiri Gutta,-
1061,Jhangir Pet,2000 
1062,Khajaguda Nanakramguda Road,711.11 
1063,Lemoor,-
1064,Manasanapalli,-
1065,Mumbai Highway,-
1066,Peerzadiguda,4429.91 
1067,Rachloor,-
1068,Venkataramana Colony,6875 
1069,Yacharam Mandal,-
1070,Alkapur township,5387.81 
1071,Bangalore Hyderabad Highway,-
1072,Mansarpally,-
1073,TellapurOsman Nagar Road,5630.88 
1074,Zaheerabad,-
1075,Gagillapur,-
1076,Ameenpur Village Patancheru,3150 
1077,Choutuppal,-
1078,Domalguda,6838.61 
1079,Dubbacherla,-
1080,Kandlakoya,3627.62 
1081,Mahabubnagar,-
1082,Maisigandi,-
1083,Puppalguda,-
1084,Tatianaram,345.69 
1085,Telephone colony,4814.81 
1086,Warangal Hyderabad Highway,-
1087,Yacharam,-
1088,Bahadurpura,4050 
1089,Chikkadapally,883.99 
1090,Gaffur Nagar,-
1091,Khairatabad Road,5000 
1092,Sun City,9936.39 
1093,Bahadurpally,30.71 
1094,Chintalakunta,5683.33 
1095,Chintradripet,5476.93 
1096,Dubbacherla Village,-
1097,Gundlapochampally,3025 
1098,Hyder nagar kphb colony,2984.83 
1099,Mahadevpur Colony,4577.67 
1100,Matrusri Nagar,54.63 
1301,Old Malakpet,4757.31 
1302,PJR Enclave Road,2600 
1303,Ramoji Film city,-
1304,Saidabad,5265.4 
1305,Abdullapur,-
1306,Ameenpur,4250.41 
1307,Engineers Enclave,-
1308,Gandi Maisamma X Road,-
1309,Jadcherla,-
1310,Medchal and Kalkal Village,-
1311,NH765,12593.75 
1312,raidurgam,5473.33 
1313,sriram nagar kondapur,-
1314,Srisailam Road,-
1315,Thummaloor,-
1316,Boiguda,9358.29 
1317,Padmarao Nagar,6899.9 
1318,Chinthal,4491.1 
1319,Barkatpura,6276.5 
1320,Bhavish Enclave,-
1321,Kongara,2323.64 
1322,Manchirevula,5924.76 
1323,Mankhal,-
1324,Munganoor,-
1325,NRSA Colony,5435.95 
1326,Raji Reddy Nagar,5554.02 
1327,Shankarpalli Hyderabad Road,-
1328,Toopra Khurd,-
1329,Film Nagar,9114.7 
1330,Cheeriyal,3793.55 
1331,Anjaiah Nagar,-
1332,Chaitanyapuri,644.38 
1333,Darga Khaliz Khan,6311.48 
1334,Dubbacharla,-
1335,Falaknuma,-
1336,Gurramguda,3920 
1337,Hitex,7934.78 
1338,Inole,1650 
1339,ISB Ring Road,-
1340,kuntloor,-
1341,Lalgadi Malakpet,-
1342,Mamadipalli,-
1343,Mansanpally Highway,-
1344,Meerkhanpet,-
1345,Nagole Bandlaguda Road,-
1346,Nawab Saheb Kunta,3848.9 
1347,New Bowenpally X Road,3801.72 
1348,Phase-1 Vanasthalipuram,-
1349,Bandlaguda Road,-
1350,Bhadurpalle,3309.94 
1351,Borabanda,7814.81 
1352,Burgula,-
1353,Camelot Layout,-
1354,Gandimaisamma,2222.22 
1355,Koti,6378.15 
1356,Mettuguda,5312.45 
1357,Mokila Road,-
1358,nizampet road,5586.69 
1359,Old Safli Guda,3870.97 
1360,Osman Nagar Road,-
1561,Padma Sri Gardens Layout,-
1562,Shivaji Nagar,2333.33 
1563,Vattepally,-
1564,Saroor Nagar,4887.42 
1565,Banjara Hills Road Number 12,10742.64 
1566,Beeramguda Vandanapuri Colony,3765.81 
1567,Bollarum,3720.93 
1568,Devatabowli,-
1569,Karwan,-
1570,Keesaragutta,-
1571,Madhura Nagar,6447 
1572,Mayuri Nagar,5268.12 
1573,Miraj Colony,-
1574,Miyapur HMT Swarnapuri Colony,-
1575,Nandigam,-
1576,Salivahana Colony,-
1577,Trimulgherry,-
1578,Turkapally,1600 
1579,Yamjal,-
1580,Aremaishamma,-
1581,Botanical Garden Road Kondapur,-
1582,Buddha Nagar,-
1583,Champapet,15584.42 
1584,Chanakyapuri,5721.93 
1585,Chintalmet,3882.7 
1586,Desh Mukhi,-
1587,Gaddi Annaram,6296.3 
1588,Gundlapochampalli,2439.57 
1589,Happy Homes Colony,4280.56 
1590,Janachaitanya Colony,4113.53 
1591,Kavuri Hills,6265.06 
1592,Krishna Reddy Pet Road,3357.14 
1593,Kundanbagh,-
1594,Madhava Hills Estates,-
1595,Moula Ali Road,4200 
1596,Nampally,3577.78 
1597,Neeladri Nagar,-
1598,Panjagutta,4875.21 
1599,Patel Guda,-
1600,Peeramcheru,7203.39 
1601,Penjerla,-
1602,Puppalaguda Road,4285.71 
1603,R Krishnaiah Nagar,-
1604,Upperpally,-
1605,Vidya nagar,5125 
1606,Yellareddy Guda,4782.61 
1607,Bachupaly Road Miyapur,4339.85 
1608,Bagh Amberpet,6167.29 
1609,Banjara Hills Road Number 10,-
1610,Budvel,-
1611,Chitkul,-
1612,Chitrapuri Colony,-
1613,Dharam Karam Road Ameerpet,-
1614,ECIL Cross Road,4000 
1615,Ghanpur,3000 
1616,Ghatkesar Road,-
1617,Kanchan Bagh,3519.83 
1618,King koti,-
1619,Korremula,-
1620,Mallepally,-
1821,Manikonda Road,4500 
1822,Murad Nagar,4376.86 
1823,NEW MALAKPET,4000 
1824,Peddamberpet,-
1825,Punjagutta,-
1826,Raghavendra Colony Manikonda,-
1827,Siddipet,-
1828,Telecom Nagar,-
1829,Vasanth Nagar Colony,5800 
1830,VIP Hills,-
1831,Zamistanpur,517.48 
1832,Alkapoor,6000 
1833,Alkapur,4000 
1834,Aparna Hill Park,-
1835,Asif Nagar,6202.74 
1836,Attapur Ring Road,4334.88 
1837,Bagath Singh Nagar Phase 2,-
1838,Balkampet,-
1839,Batasingaram,-
1840,Bolarum to Kompally Road,4575.9 
1841,Boudhanagar Colony,4901.96 
1842,Central Excise Colony Hyderabad,688.4 
1843,Chinthal Basthi,2963.37 
1844,Diamond Point Road,3699.67 
1845,Dr AS Rao Nagar Rd,4118.18 
1846,Gajewel,-
1847,Golconda Fort,2272.73 
1848,Golden Heights Road,-
1849,Gollapalle Kalan,-
1850,Huda Layout,2990.24 
1851,Hyderabad Vijayawada Highway,-
1852,Hydershakote,3113.6 
1853,Injapur,3788.55 
1854,Jai Hind Nagar Road,2917.1 
1855,Kishan Bagh,4250 
1856,Kokapeta Village,6400 
1857,Kompally Road,4660.64 
1858,KTR Colony,3842.32 
1859,manneguda,456.44 
1860,Nallagandla Fly over,5100 
1861,New Hafeezpet Hyderabad,-
1862,Panthangi Toll Plaza TIS,-
1863,Pasumamula,-
1864,Rakshapuram,3428.11 
1865,Ramachandrapuram,3543.43 
1866,Rambagh Colony,-
1867,Ramnagar Gundu,3713.08 
1868,Sathya Colony,-
1869,Sikh Village,4524.96 
1870,SR Nagar,5571.43 
1871,Sun City Padmasri Estates,474.07 
1872,Tadlakalva,-
1873,Toopran,-
1874,Vijayawada Highway,-
1875,Anand Bagh,4500 
1876,Basheer Bagh,7197.22 
1877,BDL Township,-
1878,Begumpet Main Road,-
1879,Bhanur village,-
1880,BHEL OLD MIG,-
2081,BK Guda Internal Road,4416.67 
2082,BN Reddy Road,-
2083,Chanchalguda,362.5 
2084,Chowdariguda,-
2085,Devaryamjal,-
2086,Dindigal,3349.9 
2087,Dullapally,3502.39 
2088,ECIL Main,4150.91 
2089,Gopanapalli Thanda,3100.78 
2090,Gouthapur,-
2091,Gudimalkapur,-
2092,Gundrampalli,-
2093,Huda Complex Mayuri Nagar,-
2094,Hyderabad Shah Guda,-
2095,INCOIS Road,-
2096,J P Durga Road,-
2097,Jalpally Road,-
2098,Jillelguda,-
2099,Kalimandir,-
2100,Kishan Nagar,-
2101,Kousalya Colony Road,3900 
2102,Kurmaguda,-
2103,Laxmiguda,-
2104,LB Nagar Main Road,5543.9 
2105,Miyapur Main Road,5264.42 
2106,Moulali,4357.34 
2107,National Highway,-
2108,NFC Colony Hyderabad,-
2109,NRI Anandnagar Road,663.35 
2110,Pasha Colony,-
2111,Patancheru Industrial Area,-
2112,Peddashapur,-
2113,Pragathi Nagar Road,3960.4 
2114,Pragati Nagar,3336.26 
2115,Quli Qutub Shah Nagar Colony,4142.86 
2116,Raghavendra Colony,-
2117,Rhoda Mistri Nagar,577.47 
2118,RK Puram,5500 
2119,Sainathapuram,4800 
2120,Saket,13928.57 
2121,Sangeet Nagar,4835.13 
2122,Tilak Nagar,5601.73 
2123,Vijay Nagar Colony Road,-
2124,Vivekananda Nagar Colony,5761.59 
2125,Whisper Valley Street,3999 
2126,Moti Nagar,5481.98 
2127,Pochampally,-
2128,5th Phase KPHB,6137.93 
2129,AGI Colony,-
2130,Ammuguda,4454.55 
2131,Arunodaya Colony Vittal Rao Nagar,-
2132,Ayyappa Society Main Road,-
2133,Banjara Hills Road Number 3,-
2134,Bank Of Baroda Colony,-
2135,Bhoodan Pochampally,-
2136,Bhudevinagar,-
2137,BK Guda Road,7391.3 
2138,Chilkalguda,-
2139,Chititra Medchal,4830.92 
2341,D D Colony,7142.86 
2342,Dream Valley Road,5949.1 
2343,Edi Bazaar,-
2344,Fateh Nagar,-
2345,Ghansi Bazaar,-
2346,Girmapur,-
2347,Gunrock Enclave,4285.71 
2348,Hafiz Baba Nagar,-
2349,HMT Colony,4653.47 
2350,Jai Bharat Nagar,-
2351,Jai Suryapatnam,-
2352,Kandhukargate,-
2353,Kandla Koya,4904.31 
2354,Karimnagar Hyderabad Highway,2813.46 
2355,Khizra Enclave,2962.96 
2356,kphb colony,-
2357,kukatpally housing board,-
2358,Lakdaram,-
2359,Mahindra Hills,6000 
2360,Malaysian Township Hyderabad,-
2361,Malkapur,-
2362,Manasa Hills,-
2363,Manikonda Secretariat Colony,4722.22 
2364,Medipally,-
2365,Mehboob Nagar,-
2366,Mohan Nagar,2525.99 
2367,Mokila Konadakal Road,-
2368,Nalgonda,-
2369,New Mallepally,-
2370,NizampetMiyapur Road,-
2371,Pahadi Shareef,-
2372,Palamakula,4761.9 
2373,Panchavati Colony Manikonda,5301.75 
2374,Paramount Colony Toli Chowki,3473.68 
2375,Patrika Nagar,7834.1 
2376,Poddattur Village,-
2377,Pragathi Nagar Main,-
2378,R R District,6451.61 
2379,Raikal Toll Plaza,-
2380,Raja Rajeshwara Nagar,5473.68 
2381,Rasoolpura,-
2382,Ravalkole,-
2383,Sagar Highway,-
2384,SainikpuriECIL Main Road,4454.55 
2385,Secunderabad Railway Station Road,4113.92 
2386,Shamshabad Nagarguda Road,-
2387,Shankarpalli Road,-
2388,Shantinagar Colony,6250 
2389,Shilpa Hills,4491.02 
2390,Shilpa Valley,-
2391,Sri Ramnagar Block C Kondapur,-
2392,Srinivasa Nagar Colony Hyderabad,-
2393,Sukender Reddy Colony,-
2394,Swarnadhama Nagar,5168.27 
2395,Thorrur Village,-
2397,Vayu Puri,-
2398,Vediri Township,-
2399,Venkatapuram Alwal Secundrabad,-
2400,Vinayak Nagar Colony Hyderabad,-
2601,Wampugudem,3200 
2602,Warasiguda,-
2603,Weaker Section Colony,-
2604,west venkatapuram,3800 
2605,Whitefield,5960.04 
2606,100 Feet Road,-
2607,1st Phase Allwyn Colony,-
2608,2nd Phase Allwyn Colony,-
2609,3rd Phase KPHB,-
2610,AC Guards Road,-
2611,Adarsh Nagar,3846.15 
2612,Aeronagar Hal Employees Colony,-
