,Name of the Circle,Name of the Ward,BJP,CPI,CPM,INC,AIMIM,TRS,TDP,YSRCP,Other Registered Parties with TSEC,Independents,Total Results declared
2,Kapra,Ward 1 - Kapra,0,0,0,0,0,1,0,0,0,0,1
3,Kapra,Ward 2 - Dr.A.S.Rao nagar,0,0,0,1,0,0,0,0,0,0,1
4,Kapra,Ward 3 - Cherlapally,0,0,0,0,0,1,0,0,0,0,1
5,Kapra,Ward 4 - Meerpet H.B.Colony,0,0,0,0,0,1,0,0,0,0,1
6,Kapra,Ward 5 - Mallapur,0,0,0,0,0,1,0,0,0,0,1
7,Kapra,Ward 6 - Nacharam,0,0,0,0,0,1,0,0,0,0,1
8,Uppal,Ward 7 - Chiluka nagar,0,0,0,0,0,1,0,0,0,0,1
9,Uppal,Ward 8 - Habsiguda,1,0,0,0,0,0,0,0,0,0,1
10,Uppal,Ward 9 - Ramanthapur,1,0,0,0,0,0,0,0,0,0,1
11,Uppal,Ward 10 - Uppal,0,0,0,1,0,0,0,0,0,0,1
12,Hayathnagar,Ward 11 - Nagole,1,0,0,0,0,0,0,0,0,0,1
13,Hayathnagar,Ward 12 - Mansoorabad,1,0,0,0,0,0,0,0,0,0,1
14,Hayathnagar,Ward 13 - Hayathnagar,1,0,0,0,0,0,0,0,0,0,1
15,Hayathnagar,Ward 14 - B.N.Reddy Nagar,1,0,0,0,0,0,0,0,0,0,1
16,LBNagar,Ward 15 - Vanasthalipuram,1,0,0,0,0,0,0,0,0,0,1
17,LBNagar,Ward 16 - Hasthinapuram,1,0,0,0,0,0,0,0,0,0,1
18,LBNagar,Ward 17 - Champapet,1,0,0,0,0,0,0,0,0,0,1
19,LBNagar,Ward 18 - Lingojiguda,1,0,0,0,0,0,0,0,0,0,1
20,SaroorNagar,Ward 19 - Saroornagar,1,0,0,0,0,0,0,0,0,0,1
21,SaroorNagar,Ward 20 - Ramakrishnapuram,1,0,0,0,0,0,0,0,0,0,1
22,SaroorNagar,Ward 21 - Kothapet,1,0,0,0,0,0,0,0,0,0,1
23,SaroorNagar,Ward 22 - Chaitanyapuri,1,0,0,0,0,0,0,0,0,0,1
24,SaroorNagar,Ward 23 - Gaddiannaram,1,0,0,0,0,0,0,0,0,0,1
25,Malakpet,Ward 24 - Saidabad,1,0,0,0,0,0,0,0,0,0,1
26,Malakpet,Ward 25 - Moosarambagh,1,0,0,0,0,0,0,0,0,0,1
